Iteration,Discriminator Loss,Generator Loss
6690,1.374834,0.657380
6700,1.362860,0.749643
6710,1.327523,0.556024
6720,1.451511,0.706529
6730,1.253570,0.666993
6740,1.169683,0.681084
6750,1.367744,0.647933
6760,1.285646,0.645134
6770,1.330765,0.777633
6780,1.285452,0.584489
6790,1.352229,0.742871
6800,1.368348,0.695971
6810,1.375547,0.714823
6820,1.319857,0.563020
6830,1.346185,0.564331
6840,1.331055,0.544555
6850,1.313442,0.720712
6860,1.372299,0.625046
6870,1.319939,0.779548
6880,1.364112,0.765842
6890,1.270807,0.752738
6900,1.310399,0.603313
6910,1.380708,0.685116
6920,1.287453,0.479507
6930,1.280007,0.556510
6940,1.252250,0.593120
6950,1.394654,0.756962
6960,1.326666,0.622416
6970,1.350165,0.587388
6980,1.373021,0.658989
6990,1.267312,0.561344
7000,1.323410,0.489533
7010,1.366252,0.674868
7020,1.310770,0.622046
7030,1.384484,0.571536
7040,1.373734,0.693120
7050,1.385795,0.640501
7060,1.371413,0.696533
7070,1.375210,0.909611
7080,1.439690,0.513081
7090,1.346292,0.553735
7100,1.378640,0.721469
7110,1.346281,0.666028
7120,1.306682,0.478859
7130,1.457033,0.643711
7140,1.367671,0.614343
7150,1.350062,0.655848
7160,1.338000,0.858108
7170,1.301158,0.633158
7180,1.480435,0.460984
7190,1.291292,0.543786
7200,1.379451,0.744653
7210,1.328197,0.766347
7220,1.435999,0.687413
7230,1.317280,0.658910
7240,1.303854,0.654495
7250,1.311275,0.677829
7260,1.341276,0.772253
7270,1.332579,0.698024
7280,1.374677,0.680011
7290,1.336349,0.630105
7300,1.282542,0.626172
7310,1.333317,0.694851
7320,1.372993,0.673894
7330,1.378581,0.687108
7340,1.171875,0.608126
7350,1.314978,0.636682
7360,1.344599,0.610265
7370,1.398913,0.611239
7380,1.327501,0.595543
7390,1.273912,0.600316
7400,1.371454,0.721679
7410,1.338652,0.660682
7420,1.335634,0.600222
7430,1.367391,0.606684
7440,1.371377,0.712022
7450,1.278003,0.529700
7460,1.281380,0.654493
7470,1.283794,0.638573
7480,1.321160,0.681117
7490,1.472834,0.708853
7500,1.307254,0.657363
7510,1.331485,0.679512
7520,1.334653,0.716142
7530,1.270819,0.673608
7540,1.364764,0.745277
7550,1.367882,0.639591
7560,1.324959,0.486696
7570,1.340854,0.602828
7580,1.358700,0.726594
7590,1.444876,0.500260
7600,1.276395,0.608532
7610,1.261102,0.624352
7620,1.349529,0.536219
7630,1.228996,0.511028
7640,1.320849,0.602280
7650,1.378402,0.732612
7660,1.366755,0.531533
7670,1.365257,0.679477
7680,1.345831,0.613041
7690,1.367177,0.621703
7700,1.188678,0.591057
7710,1.320684,0.632310
7720,1.297997,0.636538
7730,1.289835,0.689547
7740,1.172824,0.601311
7750,1.300664,0.596554
7760,1.297506,0.706713
7770,1.270193,0.676834
7780,1.282739,0.641875
7790,1.288815,0.490842
7800,1.253294,0.513402
7810,1.290919,0.550813
7820,1.386270,0.526527
7830,1.378325,0.692509
7840,1.331896,0.476776
7850,1.298022,0.510453
7860,1.301000,0.658301
7870,1.238798,0.589059
7880,1.347875,0.697214
7890,1.213431,0.618638
7900,1.275784,0.489863
7910,1.358790,0.618274
7920,1.381618,0.648414
7930,1.293598,0.674041
7940,1.370718,0.681575
7950,1.325848,0.543585
7960,1.415787,0.524275
7970,1.207569,0.617737
7980,1.336331,0.724460
7990,1.275269,0.609513
8000,1.346529,0.696776
8010,1.300487,0.689077
8020,1.274187,0.513360
8030,1.278308,0.664304
8040,1.369094,0.712024
8050,1.333156,0.555569
8060,1.359328,0.605892
8070,1.326944,0.646396
8080,1.333538,0.711638
8090,1.298755,0.597941
8100,1.301944,0.646120
8110,1.344248,0.607284
